Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
South Park - Butters' Very Own Pinball Game (Zen Studios 2014),Zen Studios,2014,"Licensed Theme, TV Show",4,-,-,-,FX,Zen Studios,-,2023-10-14,South Park - Butters' Very Own Pinball Game
South Park - Super Sweet Pinball (Zen Studios 2014),Zen Studios,2014,"Licensed Theme, TV Show",4,-,-,-,FX,Zen Studios,-,2023-10-14,South Park - Super Sweet Pinball
SpongeBob (Original 2020),Original,2020,"TV Show, Animation, Kids",4,-,-,SS,VPX,"Davor Lipovac, Stevegooner1234, 32assassin",1.1,2020-04-04,SpongeBob
SpongeBob Squarepants (Original 2008),Original,2008,"Cartoon, TV Show",-,-,-,-,FP,"Zobou, Joe99",0.8,2023-11-29,SpongeBob Squarepants
SpongeBob Squarepants Pinball Adventure (Original 2023),Original,2023,"TV Show, Animation, Kids",-,-,-,EM,VPX,Ljv12343,1.0.0,2023-04-03,SpongeBob Squarepants Pinball Adventure
SpongeBob's Bikini Bottom Pinball (Original 2021),Original,2021,"TV Show, Animation, Kids",-,-,-,SS,VPX,"VPin Workshop (VPW), Skillshot, Schreibi34, G5k, Rosve, JPSalas",2.1,2023-10-29,SpongeBob's Bikini Bottom Pinball
Star Trek Spock Tribute (Original 2022),Original,2022,"Science Fiction, Tribute, Licensed Theme, TV Show, Movie",-,-,-,SS,VPX,"Icepinball, Ronald Kah, JPSalas",1.0.0,2022-04-30,Star Trek Spock Tribute
Star Wars-The Bad Batch  (Original 2022),Original,2022,TV Show,-,-,-,SS,VPX,"Topper2k, Scutters, JPSalas",1.1,2023-03-03,Star Wars-The Bad Batch
Stargate (Gottlieb 1995),Gottlieb,1995,"Outer Space, Mythology, TV Show",4,2847,-,SS,VPX,"32assassin, JLouLoulou",1.3.0,2020-05-18,Stargate
Stranger Things (OrbitalPin 2017),OrbitalPin,2017,"TV Show, Science Fiction, Fantasy, Horror",4,-,-,SS,VPX,"ScottyWic, ScottyWic's wife, TerryRed, DJRobX, Flupper, Lauminet, Jrsprad, Stefanaustria (STAT), Ryan H, Ninuzzu, HauntFreaks, JPSalas, Nailbuster, Tom Tower",2.2,2021-04-07,Stranger Things
Stranger Things - Stranger Edition (OrbitalPin 2018),OrbitalPin,2018,"TV Show, Science Fiction, Fantasy, Horror",4,-,-,SS,VPX,"Team Tuga, Nesta78",1.0,2023-07-12,Stranger Things - Stranger Edition
"A-Team, The (Original 2023)",Original,2023,TV Show,-,-,-,SS,VPX,"Franck, Jicho2003",1.0.0,2023-05-27,"A-Team, The"
"Avengers, The (Original 2023)",Original,2023,"TV show, Spies, Action, Comedy",-,-,-,-,VPX,"Stevegooner123, VLive, Iceman, JPSalas",1.4.0,2024-01-11,"Avengers, The"
"Last Of Us, The (Original 2018)",Original,2018,"Horror, TV Show",-,-,-,SS,VPX,"Ivantba, JPSalas",1.1,2019-01-03,"Last Of Us, The"
"Mandalorian, The (Original 2020)",Original,2020,"Science Fiction, Space Fantasy, TV Show",4,-,-,SS,VPX,"iDigStuff, Addestratore, Mistermixer, William Hammond, HiRez00",1.1,2020-05-04,"Mandalorian, The"
"Munsters, The (Original 2020)",Original,2020,TV Show,-,-,-,SS,VPX,Allknowing2012,1.06b,2023-02-26,"Munsters, The"
"Office, The (Original 2021)",Original,2021,"TV Show, Comedy",-,-,-,SS,VPX,"Nesta78, Phenom, Hawkeyez88, Loserman76, Xenonph, Tio Italo, JPSalas",1.1,2021-10-30,"Office, The"
"Simpsons, The (Data East 1990)",Data East,1990,"Licensed Theme, TV Show, Animation",4,2158,-,SS,VPX,"Bigus1, 32assassin, Francisco666",3.1,2023-05-25,"Simpsons, The"
"Simpsons Kooky Carnival, The (Stern 2006)",Stern,2006,"Licensed Theme, TV Show, Animation, Carnival",-,-,-,SS,VPX,"Wildman, Dazz, Rawd, Remdwaas1986, Cyberpez, Flipper, Armyaviation, Arngrim, 32assassin",1.0.0,2022-12-05,"Simpsons Kooky Carnival, The"
"Simpsons Pinball Party, The (Stern 2003)",Stern,2003,"Licensed Theme, TV Show, Animation",4,4674,-,SS,VPX,"VPin Workshop (VPW), iDigStuff, Tomate, Nestorgian, Rawd, Rik, BountyBob, Coindropper, Dark, Watacaractr, Tomate, Neofr45, Leojreimroc, Iaakki, Sixtoe, Apophis, 32assassin, HauntFreaks, Bord, PinstratsDan",2.0,2022-08-23,"Simpsons Pinball Party, The"
"Simpsons Xmas Pinball, The (Original 2020)",Original,2020,"Christmas, TV Show, Animation",4,-,-,SS,VPX,"Stevegooner1234, Wildman, Lizard, Xenonph, JPSalas",1.0,2020-11-27,"Simpsons Xmas Pinball, The"
"Six Million Dollar Man, The (Bally 1978)",Bally,1978,"TV Show, Fictional, Licensed Theme",6,2165,-,SS,VPX,"Bigus1, Allknowing2012, 32assassin",2.5,2023-01-21,"Six Million Dollar Man, The"
"Sopranos, The (Stern 2005)",Stern,2005,"Licensed Theme, Mobsters, Crime, TV Show",4,5053,-,SS,VPX,"Bigus1, Freneticamnesic",1.0,2023-09-10,"Sopranos, The"
"Walking Dead, The (Zen Studios 2014)",Zen Studios,2014,"Licensed Theme, Supernatural, Zombies, TV Show",4,-,-,-,FX3,Zen Studios,-,2000-01-01,"Walking Dead, The"
"Witcher, The (Original 2020)",Original,2020,"Fantasy, Video Game, TV Show",4,-,-,SS,VPX,"Solters, Siggi, 32assassin",1.0,2022-07-31,"Witcher, The"
"X Files, The (Sega 1997)",Sega,1997,"Aliens, Conspiracy, Supernatural, Licensed, TV Show",6,4137,-,SS,VPX,"Balutito, SliderPoint, JPSalas",1.2,2021-12-30,"X Files, The"
Thunderbirds (Original 2022),Original,2022,"Adventure, Aviation, Science Fiction, TV Show, Kids",-,6617,-,SS,VPX,"Drinkcristal, Wildman, Rawd, VPW Team",1.0,2022-06-14,Thunderbirds
Thundercats Pinball (Original 2023),Original,2023,"TV Show, Animation, Kids",-,-,-,SS,VPX,"Merlinrtp, Capnclaw, ScottyWic, JPSalas, Hawkeyez88, Team Tuga, PinstratsDan, Pegula, AStirling21, DomLoveLobby, DarrinVPCLE, JoePicasso",1.09,2023-12-23,Thundercats Pinball
Tiger King (Original 2020),Original,2020,TV Show,4,-,-,SS,VPX,"iDigStuff, Jicarlin, JPSalas",1.2,2023-04-03,Tiger King
Time Tunnel (Bally 1971),Bally,1971,"TV Show, Fantasy, Time Travel",4,2566,-,EM,VPX,"Bord, Rothbauerw",2.0.0,2022-03-31,Time Tunnel
Twilight Zone (Bally 1993),Bally,1993,"Adventure, Supernatural, Licensed Theme, TV Show",4,2684,-,SS,VPX,"DaRdog81, SG1bsoN, Skitso, Coindropper, nFozzy, Tom Tower, Flupper, Zany, Ninuzzu, HauntFreaks, JPSalas",1.0.0,2023-02-27,Twilight Zone
Twin Peaks (Original 2022),Original,2022,"TV Show, Crime",-,-,-,SS,VPX,"Cart, Froggy Crew",1.1,2022-02-07,Twin Peaks
Vikings  (Original 2022),Original,2022,"TV Show, Norse Mythology",-,-,-,EM,VPX,"Nesta78, Ivantba, Lodger, Balutito",1.2,2022-03-18,Vikings
Wheel of Fortune (Stern 2007),Stern,2007,"Licensed Theme, TV Show, Game Show",4,5254,-,SS,VPX,"Bigus1, Ninuzzu",1.0,2022-09-26,Wheel of Fortune
Wild Wild West (Original 2022),Original,2022,TV Show,-,-,-,SS,VPX,"Marty02, 32assassin, Goldchicco",2.0,2022-03-20,Wild Wild West
