Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
Snow Derby (Gottlieb 1970),Gottlieb,1970,"Sports, Skiing, Snowmobiling",2,2229,-,EM,VPX,"Mustang1961, Loserman76",1.0c,2022-11-07,Snow Derby
Snow Queen (Gottlieb 1970),Gottlieb,1970,"Sports, Skiing",4,2230,-,EM,VPX,"Loserman76, GNance, Pinuck, BorgDog, Arngrim, HauntFreaks, JPSalas",1.0b,2018-01-02,Snow Queen
Soccer (Williams 1964),Williams,1964,"Sports, Soccer",1,2232,-,EM,VPX,"Loserman76, Bodydump, Itchigo",1.0.0f,2022-03-28,Soccer
Soccer Kings (Zaccaria 1982),Zaccaria,1982,"Sports, Soccer",4,2235,-,SS,VPX,"Goldchicco, Dboyrecords, Movieguru",1.0-wip,2023-06-25,Soccer Kings
Space Jam (Sega 1996),Sega,1996,"Sports, Basketball, Celebrities, Licensed Theme, Kids",6,-,-,SS,VPX,"JPJ, Edizzle, Dominique Darut, Neofr45, Chucky87, Dark, JLou, Fleep, Harlan M Russo, WorkerBoy, Sixtoe, Arngrim, JPSalas, Rothbauerw, Team PP",1.4,2020-10-03,Space Jam
Spark Plugs (Williams 1951),Williams,1951,"Sports, Horse Racing",1,2267,-,EM,VPX,"Loserman76, Ukexpat71",1.0.0,2021-11-09,Spark Plugs
Speed Test (Taito do Brasil 1982),Taito do Brasil,1982,"Sports, Auto Racing",4,4589,-,SS,VPX,"JPSalas, Carlos Guizzo, Pmax65, Akiles50000, Rothbauerw",4.0.0,2022-08-29,Speed Test
Spin Out (Gottlieb 1975),Gottlieb,1975,"Sports, Auto Racing",1,2286,-,EM,VPX,"Teisen, Loserman76",1.1,2023-07-27,Spin Out
Star Pool (Williams 1974),Williams,1974,"Sports, Billiards",-,-,-,EM,VPX,"Mustang1961, Loserman76",1.0a,2023-04-26,Star Pool
Stingray (Stern 1977),Stern,1977,"Scuba Diving, Sports, Aquatic",4,2377,-,SS,VPX,"Bord, Apophis, TastyWasps",2.0.0,2023-05-27,Stingray
Striker (Gottlieb 1982),Gottlieb,1982,"Sports, Soccer",4,2405,-,SS,VPX,"Arconovum, Kalavera, 32assassin",1.1-2.5,2023-06-25,Striker
Striker Xtreme (Stern 2000),Stern,2000,"Sports, Soccer",4,4459,-,SS,VPX,"Morttis, Arconovum, Kalavera, 32assassin, SliderPoint, Xenonph",2.0-1.0,2023-06-25,Striker Xtreme
Strikes and Spares (Bally 1978),Bally,1978,"Sports, Bowling",4,2406,-,SS,FP,"Gamer7, rom, SLAMT1LT, Rich, TerryRed",1.0.1 v2,2023-09-07,Strikes and Spares
Super Bowl (Bell Games 1984),Bell Games,1984,"Sports, American Football, Tic-Tac-Toe",4,3399,-,SS,VPX,32assassin,0.9,2023-07-02,Super Bowl
Super League Football (Zen Studios 2014),Zen Studios,2014,"Sports, American Football",4,-,-,-,FX2,Zen Studios,-,2000-01-01,Super League Football
Super Score (Gottlieb 1967),Gottlieb,1967,"Sports, Pinball",-,2441,-,EM,VPX,"JPSalas, Halen",1.0.0,2023-09-21,Super Score
Super Soccer (Gottlieb 1975),Gottlieb,1975,"Sports, Soccer",4,2443,-,EM,VPX,"Teisen, Loserman76",1.0,2023-08-31,Super Soccer
Surf Champ (Gottlieb 1976),Gottlieb,1976,"Sports, Aquatic, Happiness, Recreation, Surfing, Swimming",4,2459,-,EM,VPX,"Teisen, Loserman76",1.0.0,2023-08-11,Surf Champ
Surf Side (Gottlieb 1967),Gottlieb,1967,"Nautical, Swimming, Sports, Happiness, Aquatic",2,2464,-,EM,VPX,"Loserman76, GNance, Bladeof",1.0.0f,2021-12-09,Surf Side
Surfer (Gottlieb 1976),Gottlieb,1976,"Sports, Aquatic, Happiness, Recreation, Surfing, Swimming",2,2465,-,EM,VPX,"Rajo Joey, Loserman76, GNance, Pinuck, Foxyt, Leojreimroc, BorgDog, Arngrim, JPSalas",1.0,2022-07-12,Surfer
T.K.O. (Gottlieb 1979),Gottlieb,1979,"Sports, Boxing",1,4599,-,EM,VPX,"Rajo Joey, BorgDog",1.0.1,2022-02-20,T.K.O.
Team One (Gottlieb 1977),Gottlieb,1977,"Sports, Soccer",1,2507,-,EM,VPX,"Teisen, Loserman76",1.0,2023-08-01,Team One
Tee'd Off (Gottlieb 1993),Gottlieb,1993,"Sports, Golf",4,2508,-,SS,VPX,"Rothbauerw, Fluffhead35, Rawd, Dark, Uncle Paulie, Sixtoe, Borgdog, HauntFreaks, Tomate, Kiwi",2.0.5,2023-11-21,Tee'd Off
"Big Lebowski Pinball, The (Dutch Pinball 2016)",Dutch Pinball,2016,"Sports, Bowling, Movie",-,-,-,-,FP,TheGhost787,1.0 WIP,2023-09-14,"Big Lebowski Pinball, The"
"Champion Pub, The (Bally 1998)",Bally,1998,"Sports, Boxing",4,4358,-,SS,VPX,"Mikcab, Mfuegemann, Fuzzel, Dark, Zany, TastyWasps, Redbone",1.43,2023-11-17,"Champion Pub, The"
"Games, The (Gottlieb 1984)",Gottlieb,1984,"Sports, Olympic Games",4,3391,-,SS,VPX,Balater,1.03,2019-10-25,"Games, The"
Title Fight (Gottlieb 1990),Gottlieb,1990,"Sports, Boxing",4,2573,-,SS,VPX,"Bigus1, Bodydump, Goldchicco",1.1,2021-09-14,Title Fight
Top Score (Gottlieb 1975),Gottlieb,1975,"Sports, Bowling",2,2589,-,EM,VPX,"Teisen, Loserman76, Conram29, Francisco666, GNance, JPSalas, Pinuck, HauntFreaks, BorgDog, Arngrim",1.1.0,2023-11-23,Top Score
Torch (Gottlieb 1980),Gottlieb,1980,"Sports, Olympic Games",4,2595,-,SS,VPX,"Rajo Joey, Rawd, Rascal, BorgDog, Sixtoe",1.0.0,2022-03-23,Torch
Touchdown (Gottlieb 1984),Gottlieb,1984,"Sports, American Football",4,2610,-,SS,VPX,"Bigus1, Balater",1.0,2023-01-26,Touchdown
Triple Strike (Williams 1975),Williams,1975,"Sports, Bowling",1,2652,-,EM,VPX,"Rawd, Greywolf, Rascal, Noah Fentz, UncleWilly, Wizards_Hat, Bob5453, Sabbat Moon, CKPin, Rosve, Jesperpark, Steely, Basti, Leon Alexanian, Scampa123, VPW Team, Rik, Rajo Joey, BorgDog, Arngrim, HauntFreaks, JPSalas",5.0.1,2021-11-24,Triple Strike
VPX Foosball 2019 (Original 2019),Original,2019,"Sports, Soccer",-,-,-,EM,VPX,Rascal,1.0,2019-11-04,VPX Foosball 2019
Vector (Bally 1982),Bally,1982,"Fantasy, Sports",4,2723,-,SS,VPX,"Mustang1961, Schreibi34, Sindbad",1.0,2022-03-22,Vector
Victory (Gottlieb 1987),Gottlieb,1987,"Sports, Auto Racing",4,2733,-,SS,VPX,"Bigus1, Schlabber34, Sindbad",2.0,2023-05-04,Victory
Volley (Taito do Brasil 1981),Taito do Brasil,1981,"Sports, Volleyball",4,5494,-,SS,VPX,"JPSalas, Gerson Cordeiro, Carlos Guizzo, Stefanaustria (STAT), Editoy, Akiles50000, Rothbauerw",4.0.0,2022-08-29,Volley
WWF Royal Rumble (Data East 1994),Data East,1994,"Licensed, Sports, Wrestling, Comedy",4,2820,-,SS,VPX,"Bigus1, Freneticamnesic, 32assassin",4.0,2023-11-25,WWF Royal Rumble
Wheel (Maresa 1974),Maresa,1974,"Sports, Auto Racing, Cars",1,4644,-,EM,VPX,"Teisen, Loserman76",1.0,2023-07-27,Wheel
White Water (Williams 1993),Williams,1993,"Sports, Rafting, Aquatic, Mythology",4,2768,-,SS,VPX,"Flupper, JPSalas, PacDude, Dark, Clark Kent, Lobotomy, Wrd1972, Darquayle, DJRobX, RobbyKingPin, Sixtoe, TastyWasps, Tomate, Leojreimroc, Apophis, Primetime5k, HauntFreaks, Retro27",1.2,2023-12-23,White Water
Wimbledon  (Electromatic 1978),Electromatic,1978,"Sports, Tennis",1,6581,-,EM,VPX,"JPSalas, Halen",1.0.1,2023-08-27,Wimbledon
Winner (Williams 1971),Williams,1971,"Sports, Horse Racing",2,2792,-,EM,VPX,"CactusDude (Warbler33), Bord",0.98,2021-11-29,Winner
Wipe Out (Gottlieb 1993),Gottlieb,1993,"Sports, Skiing",4,2799,-,SS,VPX,"Senseless, Edizzle, Kiwi, Caligula",1.0.1,2023-08-10,Wipe Out
World Challenge Soccer (Gottlieb 1994),Gottlieb,1994,"Sports, Soccer",4,2808,-,SS,VPX,"Dacstyle, Fredobiwan, TAB",1.0.0,2023-08-11,World Challenge Soccer
World Cup (Williams 1978),Williams,1978,"Sports, Soccer",4,2810,-,SS,VPX,JPSalas,4.0.0,2022-11-20,World Cup
World Cup Soccer (Bally 1994),Bally,1994,"Sports, Soccer",4,2811,-,SS,VPX,"Bigus1, Knorr, ClarkKent",1.0,2023-01-31,World Cup Soccer
World Series (Gottlieb 1972),Gottlieb,1972,"Sports, Baseball",1,2813,-,EM,VPX,"Teisen, Loserman76",1.0,2023-07-27,World Series
