Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
Mortal Kombat II (Midway 1992),Midway,1992,"Arcade, Video Game, Martial Arts",2,-,-,-,-,-,-,2023-06-03,Mortal Kombat II
Mortal Kombat II Pinball Edition (Original 2016),Original,2016,"Video Game, Martial Arts",-,-,-,SS,VPX,"Javier, JPSalas",1.0.1,2016-12-19,Mortal Kombat II Pinball Edition
Mr. & Mrs. Pac-Man Pinball (Bally 1982),Bally,1982,"Happiness, Video Game",4,1639,-,SS,VPX,"DarthVito, Goldchicco, HauntFreaks, Rawd",4.0,2024-01-13,Mr. & Mrs. Pac-Man Pinball
Mr. & Mrs. Pec-Men (LTD do Brasil 1983),LTD do Brasil,1983,"Happiness, Video Game",-,-,-,SS,VPX,"Carlos Guizzo, Wiesshund, JPSalas",1.0.0,2023-01-21,Mr. & Mrs. Pec-Men
Need For Speed (Original 2018),Original,2018,"Cars, Video Game, Auto Racing",-,-,-,SS,VPX,"Ivantba, Javier1515, rom",1.2,2019-03-21,Need For Speed
Nightmare (Digital Illusions 1992),Digital Illusions,1992,"Video Game, Horror",-,-,-,SS,VPX,Chepas,0.9,2021-12-17,Nightmare
PacMan (Original 2021),Original,2021,Video Game,-,-,-,SS,VPX,Segovia11,1.33,2023-07-19,PacMan
Partyland (Digital Illusions 1992),Digital Illusions,1992,"Happiness, Celebration, Video Game",-,-,-,-,FP,"Light66, SlipperyPenguin",1.51,2023-08-04,Partyland
Persona 5 Demo (Original 2023),Original,2023,Video Game,-,-,-,-,-,Eonbrony,0.13,2023-03-03,Persona 5 Demo
Q-Bert's Quest (Gottlieb 1983),Gottlieb,1983,Video Game,4,-,-,SS,VPX,Bord,2.2,2022-07-01,Q-Bert's Quest
Rambo NES Contra (Original 2019),Original,2019,Video Game,4,1922,-,SS,VPX,Game Modder,1.2c,2019-08-29,Rambo NES Contra
Resident Evil (Original 2022),Original,2022,"Horror, Movie, Video Game",1,-,-,SS,VPX,"Crutch, Javier1515, Ivantba",1.0.0,2022-03-14,Resident Evil
Resident Evil VII (Original 2019),Original,2019,"Horror, Video Game",4,-,-,SS,VPX,"Ivantba, JPSalas",1.0,2019-10-04,Resident Evil VII
RetroFlair (Original 2012),Original,2012,"Video Game, Nostalgia",-,-,-,-,FP,"TerryRed, rom",2.0,2023-12-09,RetroFlair
Serious Sam II (Original 2019),Original,2019,Video Game,-,-,-,SS,VPX,JPSalas,4.3.1,2023-11-18,Serious Sam II
Serious Sam Pinball (Original 2017),Original,2017,Video Game,-,-,-,SS,VPX,"JPSalas, ClarkKent, Thalamus, Arngrim",4.3.0,2023-11-02,Serious Sam Pinball
Shovel Knight (Original 2017),Original,2017,Video Game,-,-,-,SS,VPX,"Wizball, Joe Picasso",1.2.0,2023-08-23,Shovel Knight
Sonic Pinball Mania (Original 2022),Original,2022,"Video Game, Kids",-,-,-,SS,FP,"TerryRed, SLAMT1LT, Brendan Bailey (Pinwizkid)",1.8,2023-12-09,Sonic Pinball Mania
Sonic the Hedgehog (Original 2005),Original,2005,"Video Game, Kids",-,-,-,SS,VPX,"Panasony, DCrosby, Javier1515, Brendan Bailey (Pinwizkid)",1.21,2023-09-16,Sonic the Hedgehog
Sonic the Hedgehog 2 (Original 2005),Original,2005,"Video Game, Kids",-,-,-,SS,VPX,"Javier1515, Brendan Bailey (Pinwizkid)",1.01,2019-05-04,Sonic the Hedgehog 2
Sonic the Hedgehog Spinball (Original 2020),Original,2020,"Video Game, Kids",-,-,-,-,VPX,McSquid,1.1,2020-04-27,Sonic the Hedgehog Spinball
Soul Reaver (Original 2019),Original,2019,Video Game,4,-,-,SS,VPX,"Michel757, Delta23, Thalamus, Wildman, Vincent Bousquet, JPSalas, Siggi",1.2,2023-05-18,Soul Reaver
Space Cadet (Microsoft 1995),Microsoft,1995,"Science Fiction, Video Game",-,-,-,SS,VPX,Freneticamnesic,022118a,2018-02-22,Space Cadet
Speed Devils (Digital Illusions 1992),Digital Illusions,1992,"Video Game, Cars, Auto Racing",-,-,-,-,FP,"LvR, Moog, Steve Paradis (Polygame)",0.99,2023-08-06,Speed Devils
Splatterhouse  (Original 2023),Original,2023,"Video Game, Horror",-,-,-,SS,VPX,SpookyMoulder,1.52,2023-03-03,Splatterhouse
Spy Hunter (Bally 1984),Bally,1984,"Video Game, Espionage",4,2328,-,SS,VPX,"Bigus1, 32assassin",1.0,2023-12-29,Spy Hunter
Steel Wheel (Digital Illusions 1992),Digital Illusions,1992,"American West, Video Game",-,-,-,-,FP,"Steve Paradis (Polygame), AtmanActive, Misaligned Cow Ventu",2.3,2023-07-25,Steel Wheel
Stones'n'Bones (Digital Illusions 1992),Digital Illusions,1992,"Video Game, Horror",-,-,-,-,FP,Light66,1.05,2023-08-04,Stones'n'Bones
Street Fighter II (Gottlieb 1993),Gottlieb,1993,"Martial Arts, Video Game",4,2403,-,SS,VPX,"Pattyg234, Roccodimarco, JPSalas",1.3,2022-03-30,Street Fighter II
Streets of Rage (Original 2018),Original,2018,Video Game,-,-,-,SS,VPX,"Ivantba, Brendan Bailey (Pinwizkid)",1.3,2020-01-28,Streets of Rage
Sunset Riders Pinball (Original 2022),Original,2022,Video Game,-,-,-,SS,VPX,"Victor74, Balanica, Jicho2003, JPSalas",4.0,2022-09-09,Sunset Riders Pinball
Super Mario Bros. Mushroom World (Gottlieb 1992),Gottlieb,1992,"Video Game, Kids",4,3427,-,SS,VPX,"Kiwi, JPSalas",1.0.2,2022-09-19,Super Mario Bros. Mushroom World
Super Mario Galaxy Pinball (Original 2020),Original,2020,"Video Game, Kids",-,-,-,SS,VPX,"Remdwaas1986, Knorr, Uers1983, Phenom, PEandS1Ws, Rajo Joey, Ninuzzu, 3rdAxis, JPSalas",1.3,2021-12-15,Super Mario Galaxy Pinball
Symphony of the Night (Original 2022),Original,2022,Video Game,-,-,-,SS,VPX,"Supergibson, JPSalas",1.0.0,2023-06-25,Symphony of the Night
T and C Surf (Original 2023),Original,2023,Video Game,-,-,-,-,VPX,SpookyMoulder,1.2,2023-02-26,T and C Surf
"Elder Scrolls V Skyrim Pinball, The (Zen Studios 2016)",Zen Studios,2016,"Licensed Theme, Video Game",4,-,-,-,FX3,Zen Studios,-,2000-01-01,"Elder Scrolls V Skyrim Pinball, The"
"Last Ninja, The (Original 2018)",Original,2018,"Video Game, Martial Arts",-,-,-,SS,VPX,"Ivantba, Xenonph, BorgDog, JPSalas",1.1,2018-11-06,"Last Ninja, The"
"Legend of Zelda, The (Original 2015)",Original,2015,"Video Game, Kids",-,-,-,SS,VPX,"JPSalas, LoadedWeapon, Arngrim",4.3.0,2023-11-02,"Legend of Zelda, The"
"Witcher, The (Original 2020)",Original,2020,"Fantasy, Video Game, TV Show",4,-,-,SS,VPX,"Solters, Siggi, 32assassin",1.0,2022-07-31,"Witcher, The"
Tomb Raider - A Survival is Born (Original 2019),Original,2019,Video Game,-,-,-,-,VPX,"Ivantba, Mfuegemann, 32assassin",1.1,2023-09-25,Tomb Raider - A Survival is Born
Turrican (Original 2018),Original,2018,Video Game,-,-,-,SS,VPX,"Ivantba, Onevox, Xenonph, DJRobX, JPSalas",1.4,2019-03-02,Turrican
UT99ctfGE (Original 2021),Original,2021,Video Game,4,-,-,SS,VPX,"Oqqsan, MajorFrenchy, Tomate, Thalamus, Javier, Flupper, Rawd, Leojreimroc, Iaakki, Sixtoe, EBisLit, Apophis, 32assassin, Rothbauerw",2.3,2022-04-06,UT99ctfGE
Unreal Tournament 99 Capture the Flag (Original 2021),Original,2021,Video Game,-,-,-,SS,-,"Tartzani, Oqqsan, Javier",2.3,2023-07-03,Unreal Tournament 99 Capture the Flag
WOW Monopoly (Original 2015),Original,2015,"Fantasy, Board Games, Video Game",-,-,-,SS,VPX,"JPSalas, PacDude, Arngrim, Rothbauerw",4.0.0,2022-10-16,WOW Monopoly
Wild West (Codemasters 1995),Codemasters,1995,"American West, Video Game",-,-,-,-,FP,"Rwl, Slash2084, Jerry Winter, Sebek74",1.10,2023-09-11,Wild West
Wolfenstein 3D (Original 2015),Original,2015,Video Game,-,-,-,SS,VPX,"Onemanproject, Reggio Demasi",1.2,2023-06-22,Wolfenstein 3D
World War Z Pinball (Zen Studios 2023),Zen Studios,2023,"Video Game, Zombies",-,-,-,-,FX,"Zen Studios, Daniel Vigh",-,2023-07-23,World War Z Pinball
