Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
Batman The Dark Knight (Stern 2008),Stern,2008,"Licensed Theme, Movie, Superheroes, Comics",4,5307,-,SS,VPX,"Bord, Apophis, Sixtoe, Iaakki, Wylte, Retro27, RiK, PinstratsDan, Ninuzzu, Tom Tower",1.0.7,2022-09-23,Batman The Dark Knight
Baywatch (Sega 1995),Sega,1995,"Celebrities, Fictional, Licensed Theme, TV Show",6,2848,-,SS,VPX,"Bigus1, Kiwi",1.0,2023-07-29,Baywatch
Beverly Hills Cop (Original 2019),Original,2019,"Licensed Theme, Movie, Police",4,-,-,SS,VPX,"Ivantba, JPSalas",1.0,2019-12-10,Beverly Hills Cop
Big Buck Hunter Pro (Stern 2010),Stern,2010,"Hunting, Licensed Theme",4,5513,-,SS,VPX,"Bigus1, 32assassin, 85vett",2.0,2023-05-04,Big Buck Hunter Pro
Blade (Zen Studios 2013),Zen Studios,2013,"Licensed Theme, Comics, Superheroes",4,-,-,-,FX,"Zen Studios, Imre Szigeti",-,2023-07-19,Blade
Bob's Burgers Pinball (Zen Studios 2015),Zen Studios,2015,"Licensed Theme, Comics",4,-,-,-,FX3,Zen Studios,-,2000-01-01,Bob's Burgers Pinball
Borderlands - Vault Hunter Pinball (Zen Studios 2023),Zen Studios,2023,"Licensed Theme, Video Game",-,-,-,-,FX,Zen Studios,-,2023-07-19,Borderlands - Vault Hunter Pinball
Bram Stoker's Dracula (Williams 1993),Williams,1993,"Licensed Theme, Fictional, Horror, Supernatural, Movie",4,3072,-,SS,VPX,"Csilk, Thalamus, Dozer316, ICPjuggla, Francisco666, rom",1.6I,2023-09-25,Bram Stoker's Dracula
Brothers in Arms - Win the War Pinball (Zen Studios 2023),Zen Studios,2023,"Licensed Theme, Video Game, Combat",-,-,-,-,FX,Zen Studios,-,2023-07-19,Brothers in Arms - Win the War Pinball
Bugs Bunny's Birthday Ball (Bally 1991),Bally,1991,"Licensed Theme, Cartoon, Happiness, Kids",4,396,-,SS,VPX,"Wrd1972, Cyberpez, nFozzy, Flupper, DJRobX, Bodydump, Bord, Rothbauerw",2.3b,2023-05-11,Bugs Bunny's Birthday Ball
CSI (Stern 2008),Stern,2008,"Licensed Theme, Detective, Crime, TV Show",4,5348,-,SS,FP,"NitroNimbus, Francisco666, rom, Skinooe",2.0,2023-09-17,CSI
Canada Dry (Gottlieb 1976),Gottlieb,1976,"Licensed Theme, Drinking",4,426,-,EM,VPX,"Teisen, Loserman76",1.1.0,2023-08-15,Canada Dry
Capt. Fantastic and The Brown Dirt Cowboy (Bally 1976),Bally,1976,"Celebrities, Fictional, Licensed Theme",4,438,-,EM,VPX,"Leojreimroc, Dozer, Rosve, Stefanaustria (STAT), DJRobX, Bord, Thalamus, PinstratsDan, Rajo Joey, Apophis, Rothbauerw",2.0.2,2022-10-06,Capt. Fantastic and The Brown Dirt Cowboy
Captain America (Zen Studios 2011),Zen Studios,2011,"Licensed Theme, Comics, Superheroes",4,-,-,-,FX,"Zen Studios, Viktor Gyorei",-,2023-07-19,Captain America
Charlie's Angels (Gottlieb 1978),Gottlieb,1978,Licensed Theme,4,492,-,SS,VPX,"JPSalas, Carlos Guizzo, Inkochnito, Arngrim",4.0.0,2022-09-19,Charlie's Angels
Civil War (Zen Studios 2012),Zen Studios,2012,"Licensed Theme, Comics, Superheroes",4,-,-,-,FX,"Zen Studios, Mate Szeplaki",-,2023-07-19,Civil War
Close Encounters of the Third Kind (Gottlieb 1978),Gottlieb,1978,"Licensed Theme, Movie, Science Fiction",4,536,-,SS,VPX,"Wiesshund, Serpiko, Pinuck",4.0,2023-09-21,Close Encounters of the Third Kind
Commando - Schwarzenegger (Original 2020),Original,2020,"Celebrities, Licensed Theme, Movie",-,-,-,SS,VPX,"Ivantba, 32assassin",1.0,2020-03-23,Commando - Schwarzenegger
Conan (Rowamet 1983),Rowamet,1983,"Fantasy, Licensed Theme",4,4580,-,SS,VPX,"Bigus1, Xenonph, Batch, JPSalas",2.0,2023-06-18,Conan
Creature from the Black Lagoon (Bally 1992),Bally,1992,"Drive-In, Movie, Fictional, Licensed Theme",4,588,-,SS,FP,AnonTet,2.2,2023-08-02,Creature from the Black Lagoon
Deadpool (Zen Studios 2014),Zen Studios,2014,"Licensed Theme, Comics, Superheroes",4,-,-,-,FX,"Zen Studios, Tamas Pokrocz",-,2023-07-19,Deadpool
Demogorgon (Original 2020),Original,2020,"Science Fiction, Licensed Theme",-,-,-,SS,VPX,"Fastdraw (Granit), Fastdraw (Granit)",1.0,2020-01-04,Demogorgon
Demolition Man (Williams 1994),Williams,1994,"Science Fiction, Licensed Theme",4,662,-,SS,VPX,"Knorr, Kiwi, Flupper1, Shoopity, Mfuegemann, Freneticamnesic, Toxie, Gigalula, Bigus1, ClarkKent",1.2,2022-07-10,Demolition Man
Dirty Harry (Williams 1995),Williams,1995,"Fictional, Licensed Theme, Movie, Crime, Police",4,684,-,SS,VPX,"TastyWasps, Flupper, Knorr, Wylte, VPW Team, Ashleyb",2.20,2023-02-07,Dirty Harry
Doctor Strange (Zen Studios 2013),Zen Studios,2013,"Licensed Theme, Comics, Superheroes",4,-,-,-,FX,"Zen Studios, Ivan Nicoara",-,2023-07-19,Doctor Strange
Doctor Who (Bally 1992),Bally,1992,"Licensed Theme, TV Show",4,738,-,SS,-,"Bigus1, SliderPoint, Rothbauerw, oooPlayer1ooo",2.0,2023-03-12,Doctor Who
Dolly Parton (Bally 1979),Bally,1979,"Celebrities, Licensed, Music, Singing",4,698,-,SS,VPX,"10mmSocket, JPSalas",1.0,2022-11-28,Dolly Parton
Doom Pinball (Zen Studios 2016),Zen Studios,2016,"Licensed Theme, Video Game",4,-,-,-,FX3,Zen Studios,-,2000-01-01,Doom Pinball
Dungeons & Dragons (Bally 1987),Bally,1987,"Licensed Theme, Fantasy",4,743,-,SS,FP,"Zobou, TheGhost787, Happycab",1.0,2023-09-17,Dungeons & Dragons
E.T. Pinball (Zen Studios 2017),Zen Studios,2017,"Licensed Theme, Fantasy",4,-,-,-,FX,"Zen Studios, Peter Horvath",-,2022-04-02,E.T. Pinball
Elvira - Party House of Horror (Original 2019),Original,2019,"Licensed Theme, Horror, Supernatural",-,,-,SS,VPX,"Gman77, Jagandy82, Nagadevil, HauntFreaks, Marty02, 32assassin",1.0,2023-11-09,Elvira - Party House of Horror
Elvira and the Party Monsters (Bally 1989),Bally,1989,"Licensed Theme, Horror, Supernatural",4,782,-,SS,VPX,"Gman77, Jagandy82, Nagadevil, Versins77, 32assassin, HauntFreaks",1.0.0,2023-11-09,Elvira and the Party Monsters
Elvis (Stern 2004),Stern,2004,"Licensed Theme, Music",4,4983,-,SS,VPX,"JPSalas, Steve Paradis (Polygame), Chokeee, Mitty723, Batch, Coten",4.3.2,2023-12-15,Elvis
Evel Knievel (Bally 1977),Bally,1977,"Celebrities, Licensed Theme, Stunts",4,4499,-,SS,VPX,"HauntFreaks, 32assassin, TastyWasps, Leojreimroc",5.0,2023-10-20,Evel Knievel
Fallout Pinball (Zen Studios 2016),Zen Studios,2016,"Licensed Theme, Video Game",4,-,-,-,FX3,Zen Studios,-,2000-01-01,Fallout Pinball
Family Guy (Stern 2007),Stern,2007,"Licensed Theme, Animation, TV Show",4,5219,-,SS,VPX,"Michel757, Bigus1, Ninuzzu, Vbobrusev",1.0,2023-11-25,Family Guy
Family Guy Pinball (Zen Studios 2015),Zen Studios,2015,"Licensed Theme, TV Show",4,-,-,-,FX3,Zen Studios,-,2000-01-01,Family Guy Pinball
Fantastic Four (Zen Studios 2011),Zen Studios,2011,"Licensed Theme, Comics, Superheroes",4,-,-,-,FX,"Zen Studios, Peter Grafl",-,2023-07-19,Fantastic Four
Fear Itself (Zen Studios 2012),Zen Studios,2012,"Licensed Theme, Comics",4,-,-,-,FX,"Zen Studios, Zoltan Vari",-,2023-07-19,Fear Itself
Freddy A Nightmare on Elm Street (Gottlieb 1994),Gottlieb,1994,"Celebrities, Fictional, Licensed Theme",4,948,-,SS,VPX,"Gman77, Siggi, Hawkeyez88, Jagandy82, Balutito, Hirez00, Nagaidevil, 80sRkadeguy70",1.0.0,2023-11-10,Freddy A Nightmare on Elm Street
Game of Thrones (Original 2021),Original,2021,"Licensed Theme, Medieval, TV Show",-,-,-,SS,VPX,"Solters, Balutito, Glxb, Highlnder00, Jpinsa, Shaderbytes, Javier1515, Hawkeyez88, Fluffhead35, Daeron61, Nesta78, Nailbuster",1.0,2022-08-11,Game of Thrones
Game of Thrones - Limited Edition (Stern 2015),Stern,2015,"Licensed Theme, Medieval",-,6309,-,SS,VPX,"VPin Workshop (VPW), Skillman, Oqqsan, Daphishbowl, Tomate, Niwak, AstroNasty, Leojreimroc, Sixtoe, Apophis",1.0.2,2023-01-02,Game of Thrones - Limited Edition
Ghost Rider (Zen Studios 2011),Zen Studios,2011,"Licensed Theme, Comics, Superheroes",4,-,-,-,FX,"Zen Studios, Zoltan Vari",-,2023-07-19,Ghost Rider
Ghostbusters (Stern 2016),Stern,2016,"Licensed Theme, Science Fiction",4,6334,-,SS,FP,"VP1000, Smoke, SLAMT1LT, JPSalas",1.4,2023-10-10,Ghostbusters
Gilligan's Island (Bally 1991),Bally,1991,"Celebrities, Fictional, Licensed Theme",4,1004,-,SS,VPX,"TastyWasps, Dark, Mfuegemann, Rothbauerw, Arvid, Apophis, Sixtoe, Redbone, Hauntfreaks, Leojreimroc, VPW Team",1.46,2023-11-04,Gilligan's Island
Godzilla (Stern 2021),Stern,2021,"Licensed Theme, Monsters, Science Fiction",-,6841,-,SS,FP,"Fastdraw (Granit), Mathiasg",1.2.1,2023-08-06,Godzilla
Godzilla Pinball (Zen Studios 2023),Zen Studios,2023,"Licensed Theme, Monsters",-,-,-,-,FX,Zen Studios,-,2023-07-19,Godzilla Pinball
Godzilla vs. Kong Pinball (Zen Studios 2023),Zen Studios,2023,"Movie, Fantasy, Monsters, Licensed Theme",-,-,-,-,FX,Zen Studios,-,2023-08-30,Godzilla vs. Kong Pinball
Goldeneye (Sega 1996),Sega,1996,"Licensed Theme, Movie, Espionage",6,3792,-,SS,VPX,"VPin Workshop (VPW), JPJ, Team PP, Pingod",1.0,2022-04-30,Goldeneye
Guardians of the Galaxy (Stern 2017),Stern,2017,"Licensed Theme, Comics, Superheroes, Movie",4,6474,-,SS,VPX,"Daphishbowl, Pincredibles, MPT3k, Mr H, Rik, Harlan, Orbital Group, Vaas, Waxx, Ashtone6, Al Terry, VPW Team, PinstratsDan, BountyBob, Wylte, Toby, James D, DJRobX, MrFireshots, Sixtoe, Apophis, Arngrim, HauntFreaks, Nailbuster",2.1.1,2022-11-07,Guardians of the Galaxy
Guardians of the Galaxy Trilogy (Original 2023),Original,2023," Licensed Theme, Comics, Superheroes, Movie",-,-,-,-,VPX,"Marty02, JPSalas",4.0,2023-09-24,Guardians of the Galaxy Trilogy
Guns N' Roses (Data East 1994),Data East,1994,"Celebrities, Licensed, Music",4,1100,-,SS,VPX,VPin Workshop (VPW),1.1,2023-10-08,Guns N' Roses
Harlem Globetrotters On Tour (Bally 1979),Bally,1979,"Sports, Basketball, Licensed Theme",4,1125,-,SS,VPX,"Larouillas, JPSalas",1.0.0,2023-12-09,Harlem Globetrotters On Tour
Harley-Davidson (Sega 1999),Sega,1999,"Licensed Theme, Motorcycles",6,4453,-,SS,VPX,"Nestorgian, Goldchicco, 32assassin, Edizzle, Batch, Ahr1man, Apophis, PinstratsDan, TastyWasps, Retro27, HauntFreaks",1.12,2023-07-30,Harley-Davidson
Hellraiser (Original 2022),Original,2022,"Licensed, Horror, Supernatural",-,-,-,SS,VPX,"Balutito, Team Tuga, Dave Sousa, Iaakki, JPSalas",1.2,2023-11-03,Hellraiser
Hook (Data East 1992),Data East,1992,"Licensed Theme, Pirates, Fictional",4,1233,-,SS,VPX,"Bigus1, Javier1515, Dark",2.2,2023-04-06,Hook
Independence Day (Sega 1996),Sega,1996,"Outer Space, Licensed Theme, Movie",6,3878,-,SS,VPX,"Bigus1, Batch, DevaL, Nealtron, Destruk",2.0,2023-08-06,Independence Day
Indiana Jones (Stern 2008),Stern,2008,"Licensed Theme, Mythology",4,-,-,SS,VPX,"Bigus1, Hanibal, Freneticamnesic, Highlnder00, Glxb",2.0,2022-09-11,Indiana Jones
Indiana Jones - Fortune and Glory Edition (Original 2023),Original,2023,"Movie, Licensed Theme",-,-,-,SS,FP,"TerryRed, Glxb, Highlnder00, Schlabber34, Fleep, JLou, SLAMT1LT",1.1,2023-12-09,Indiana Jones - Fortune and Glory Edition
Indiana Jones - The Pinball Adventure (Williams 1993),Williams,1993,"Adventure, Fictional, Licensed Theme",4,1267,-,SS,FX,"Zen Studios, Zoltan Vari",-,2022-04-02,Indiana Jones - The Pinball Adventure
Indiana Jones The Last Movie (Original 2023),Original,2023,"Licensed Theme, Movie",-,-,-,SS,VPX,"Marty02, JPSalas",3.0,2023-07-02,Indiana Jones The Last Movie
Iron Man (Zen Studios 2010),Zen Studios,2010,"Licensed Theme, Comics, Superheroes",4,-,-,-,FX,"Zen Studios, Ivan Nicoara",-,2023-07-19,Iron Man
JP'S Iron Man 2 - Armored Adventures (Original 2014),Original,2014,"Comics, Fantasy, Licensed Theme, Superheroes",4,6154,-,SS,VPX,"JPSalas, Carlos Guizzo",4.3.0,2023-11-02,JP'S Iron Man 2 - Armored Adventures
JP'S NASCAR Race (Original 2005),Original,2005,"NASCAR, Auto Racing, Cars, Licensed Theme",4,5093,-,SS,VPX,"JPSalas, Arngrim, Rothbauerw",4.3.0,2023-11-02,JP'S NASCAR Race
JP's Addams Family (Bally 1992),Bally,1992,"Celebrities, Fictional, Licensed Theme, Movie",-,20,-,SS,VPX,"JPSalas, Dark",4.3.0,2023-11-02,JP's Addams Family
JP's Captain Fantastic (Bally 1976),Bally,1976,"Celebrities, Fictional, Licensed Theme",4,438,-,EM,VPX,"Justthebest, JPSalas",1.0.1,2023-08-04,JP's Captain Fantastic
JP's Deadpool (Original 2021),Original,2021,"Comics, Fantasy, Licensed Theme, Superheroes",-,-,-,SS,VPX,"JPSalas, EbIsLit, JLouLouLou, CPAG0821, Vbousquet, Thalamus, Jgirking, OneSharpEdge, Outhere",5.1.2,2023-08-27,JP's Deadpool
JP's Ghostbusters Slimer (Original 2017),Original,2017,"Licensed Theme, Science Fiction",4,6332,-,SS,VPX,"Gman77, JPSalas, Jagandy82, Nesta78, Marcobus2005, Cliffy, Nagaidevil",1.0.0,2023-11-10,JP's Ghostbusters Slimer
JP's Indiana Jones (Stern 2008),Stern,2008,"Licensed Theme, Movie, Mythology",4,-,-,SS,VPX,JPSalas,5.0.1,2023-09-05,JP's Indiana Jones
JP's Lord of The Rings (Original 2003),Original,2003,"Fantasy, Licensed Theme, Movie",4,4858,-,SS,VPX,"JPSalas, Glxb, Thalamus, Fuzzel, Bassgeige, Arngrim, Batch, SliderPoint",4.3.0,2023-11-02,JP's Lord of The Rings
JP's Spider-Man (Original 2011),Original,2011,"Licensed Theme, Comics, Superheroes",4,5237,-,SS,VPX,JPSalas,5.0.0,2023-06-28,JP's Spider-Man
JP's Star Trek LE (Stern 2013),Stern,2013,"Licensed Theme, Outer Space, Science Fiction, Space Fantasy, Movie",4,6045,-,SS,VPX,"JPSalas, Carlos Guizzo, Thalamus",4.3.0,2023-11-02,JP's Star Trek LE
JP's Terminator 2 (Original 2020),Original,2020,"Celebrities, Fictional, Licensed Theme, Apocalyptic, Movie",4,2524,-,SS,VPX,JPSalas,4.3.0,2023-11-02,JP's Terminator 2
JP's Terminator 3 (Stern 2003),Stern,2003,"Licensed Theme, Science Fiction, Movie, Apocalyptic",4,4787,-,SS,VPX,JPSalas,4.3.0,2023-11-02,JP's Terminator 3
JP's The Avengers (Stern 2012),Stern,2012,"Comics, Fantasy, Licensed Theme, Superheroes",4,5938,-,SS,VPX,"JPSalas, Thalamus, Siggi",5.0.0,2023-06-30,JP's The Avengers
JP's The Lost World Jurassic Park (Sega 1997),Sega,1997,"Dinosaurs, Movie, Licensed Theme",6,4136,-,SS,VPX,JPSalas,4.3.0,2023-11-02,JP's The Lost World Jurassic Park
JP's The Walking Dead (Stern 2014),Stern,2014,"Licensed Theme, Supernatural, Zombies, TV Show",-,6155,-,SS,VPX,JPSalas,4.3.0,2023-10-26,JP's The Walking Dead
JP's Transformers (Original 2011),Original,2011,"Licensed Theme, Science Fiction, Movie",4,5709,-,SS,VPX,JPSalas,5.0.2,2023-10-06,JP's Transformers
James Bond (Original 2021),Original,2021,"Licensed Theme, Movie, Espionage",6,-,-,SS,VPX,"Balutito, JPJ, Pingod, UncleReamus, Destruk, The Trout, Bigus1, 32assassin, Team PP",1.2,2021-12-30,James Bond
James Bond 007 (Gottlieb 1980),Gottlieb,1980,"Licensed Theme, Movie, Espionage",4,1286,-,SS,VPX,"Teisen, Rajo Joey, 32assassin, Mfuegemann",1.1.0,2023-09-16,James Bond 007
Jaws Pinball (Zen Studios 2017),Zen Studios,2017,"Licensed Theme, Fantasy, Nautical, Movie",4,-,-,-,FX,"Zen Studios, Szucs David",-,2022-04-02,Jaws Pinball
Johnny Mnemonic (Williams 1995),Williams,1995,"Movie, Fictional, Licensed Theme",4,3683,-,SS,VPX,"Balutito, Drakkon, Delano, Ninuzzu",1.0.0,2023-09-26,Johnny Mnemonic
Judge Dredd (Bally 1993),Bally,1993,"Licensed Theme, Comics, Superheroes",4,1322,-,SS,VPX,"Bigus1, Dozer, BrandonLaw, Lord Hiryu, Bmiki75, Teppotee, Kiwi, Thalamus, HauntFreaks",3.1,2022-09-19,Judge Dredd
Jurassic Park (Data East 1993),Data East,1993,"Fantasy, Licensed Theme, Movie, Dinosaurs",4,1338,-,SS,-,"Bigus1, Dark, Bodydump, Flupper1, Randr, Lobotomy, WhenLit, HauntFreaks, Rothbauerw",1.1,2021-12-08,Jurassic Park
Jurassic Park Pinball (Zen Studios 2018),Zen Studios,2018,"Licensed Theme, Fantasy, Movie, Dinosaurs",4,-,-,-,FX,"Zen Studios, Zoltan Vari",-,2022-04-02,Jurassic Park Pinball
Jurassic Park Pinball Mayhem (Zen Studios 2018),Zen Studios,2018,"Licensed Theme, Fantasy, Movie, Dinosaurs",4,-,-,-,FX,"Zen Studios, Peter Horvath",-,2022-04-02,Jurassic Park Pinball Mayhem
Jurassic World Pinball (Zen Studios 2018),Zen Studios,2018,"Licensed Theme, Fantasy, Movie, Dinosaurs",4,-,-,-,FX,"Zen Studios, Thomas Crofts",-,2022-04-02,Jurassic World Pinball
Kiss (Bally 1979),Bally,1979,"Celebrities, Licensed, Music",4,1386,-,SS,FP,Popotte,1.00,2023-11-22,Kiss
Kong Pinball (Zen Studios 2023),Zen Studios,2023,"Licensed Theme, Monsters",-,-,-,-,FX,Zen Studios,-,2023-07-19,Kong Pinball
Krull (Gottlieb 1983),Gottlieb,1983,"Fantasy, Licensed Theme",4,1397,-,SS,VPX,"Rascal, Mfuegemann, Kevinleedrum, Jean-Rene Karr, Krellan, Chris Hutchins, Inkochnito, Arngrim, Batch",1.0,2023-02-06,Krull
Last Action Hero (Data East 1993),Data East,1993,"Fictional, Licensed Theme, Movie",4,1416,-,SS,VPX,"VPin Workshop (VPW), Javier1515, Francisco666",1.2,2023-07-24,Last Action Hero
Lethal Weapon 3 (Data East 1992),Data East,1992,"Licensed Theme, Police, Crime",4,1433,-,SS,VPX,"Bigus1, Javier1515, Francisco666, oooPlayer1ooo, rom",2.0,2022-07-31,Lethal Weapon 3
Lost In Space (Sega 1998),Sega,1998,"Licensed Theme, Outer Space, TV Show",6,4442,-,SS,VPX,"DanLShane, Bigus1, DevaL, Destruk, TAB",1.2.0,2023-05-13,Lost In Space
Mad Max Fury Road (Original 2021),Original,2021,"Licensed Theme, Movie, Apocalyptic",6,-,-,SS,VPX,"Balutito, 32assassin, Francisco666, Daeron61",1.5,2023-06-10,Mad Max Fury Road
