Table Name (Manufacturer Year),Manufacturer,Year,Theme,Player(s),IPDB Number,Description(s),Type,VP Version,Table Author(s),Table Version,Table Date,New_Column
"Legend of Zelda, The (Original 2015)",Original,2015,"Video Game, Kids",-,-,-,SS,VPX,"JPSalas, LoadedWeapon, Arngrim",4.3.0,2023-11-02,"Legend of Zelda, The"
"Lion King, The (Original 2020)",Original,2020,"Animation, Kids",4,-,-,SS,VPX,"Ivantba, Shamrock1980, JPSalas, Siggi",1.0,2023-06-25,"Lion King, The"
"Wizard, The (Original 2021)",Original,2021,"Movie, Videogames, Kids",1,-,-,EM,VPX,"MellerMeller, Batch, BorgDog, HauntFreaks",1.5,2024-01-09,"Wizard, The"
Thunderbirds (Original 2022),Original,2022,"Adventure, Aviation, Science Fiction, TV Show, Kids",-,6617,-,SS,VPX,"Drinkcristal, Wildman, Rawd, VPW Team",1.0,2022-06-14,Thunderbirds
Thundercats Pinball (Original 2023),Original,2023,"TV Show, Animation, Kids",-,-,-,SS,VPX,"Merlinrtp, Capnclaw, ScottyWic, JPSalas, Hawkeyez88, Team Tuga, PinstratsDan, Pegula, AStirling21, DomLoveLobby, DarrinVPCLE, JoePicasso",1.09,2023-12-23,Thundercats Pinball
Timon and Pumbaa's Jungle Pinball (Original 2021),Original,2021,"Animation, Kids",-,-,-,SS,-,"Devious626, ScottyWic, Flupper, DJRobX, Aartee, Izzy, Tiffany chu, Hentoony, Remdwaas1986, Phenom, PEandS1Ws, Wylte, VPW Team, Flipper, Iaakki, Sixtoe, Apophis, Ninuzzu, HauntFreaks, JPSalas, Rothbauerw, nFozzy, Nailbuster",1.0.0,2021-12-26,Timon and Pumbaa's Jungle Pinball
Tom & Jerry (Original 2018),Original,2018,"Licensed Theme, Cartoon, Kids",-,-,-,SS,VPX,"Gedankekojote97, Watacaractr, Psiomicron, Rawd, Sixtoe, TastyWasps",1.33,2023-05-31,Tom & Jerry
Wacky Races (Original 2022),Original,2022,"Animation, Kids, Auto Racing",-,-,-,SS,VPX,"Remdwaas1986, Joe Picasso, EalaDubhSidhe, Francisco666, TerryRed, Oqqsan, Davor Lipovac, Scampa123, Outhere, PinstratsDan, Sixtoe, Apophis, HauntFreaks, Rothbauerw, Paolo (Wild)",1.3,2022-05-02,Wacky Races
Who Framed Roger Rabbit (Original 2021),Original,2021,"Animation, Kids, Movie",-,-,-,SS,VPX,"Sebastiendelf, Lio",1.2,2021-11-25,Who Framed Roger Rabbit
Woody Woodpecker (Original 2022),Original,2022,"Animation, Kids",-,-,-,EM,VPX,"Icepinball, JPSalas",1.0.1,2022-05-22,Woody Woodpecker
